113.190.218.171 - - [05/May/2017:14:09:09 +0700] "GET /WebBanHang/frontend/images/8x42.png HTTP/1.1" 304 -
113.190.218.171 - - [05/May/2017:14:09:09 +0700] "GET /WebBanHang/frontend/images/4x42.png HTTP/1.1" 304 -
113.190.218.171 - - [05/May/2017:14:09:09 +0700] "GET /WebBanHang/frontend/images/7x42.png HTTP/1.1" 304 -
113.190.218.171 - - [05/May/2017:14:09:09 +0700] "GET /WebBanHang/frontend/images/5x42.png HTTP/1.1" 304 -
113.190.218.171 - - [05/May/2017:14:09:09 +0700] "GET /WebBanHang/frontend/images/2x42.png HTTP/1.1" 304 -
113.190.218.171 - - [05/May/2017:14:09:09 +0700] "GET /WebBanHang/frontend/images/3x42.png HTTP/1.1" 304 -
113.190.218.171 - - [05/May/2017:14:09:09 +0700] "GET /WebBanHang/frontend/images/arrows.png HTTP/1.1" 304 -
113.190.218.171 - - [05/May/2017:14:09:09 +0700] "GET /favicon.ico HTTP/1.1" 404 1016
113.190.218.171 - - [05/May/2017:14:09:12 +0700] "GET /WebBanHang/frontend/detail.jsp?prid=15 HTTP/1.1" 200 23160
113.190.218.171 - - [05/May/2017:14:09:12 +0700] "GET /WebBanHang/frontend/css/jquery.fancybox.css?v=2.1.6 HTTP/1.1" 304 -
113.190.218.171 - - [05/May/2017:14:09:12 +0700] "GET /WebBanHang/frontend/css/magiczoom.css HTTP/1.1" 304 -
113.190.218.171 - - [05/May/2017:14:09:12 +0700] "GET /WebBanHang/frontend/css/jquery.fancybox-buttons.css?v=1.0.5 HTTP/1.1" 304 -
113.190.218.171 - - [05/May/2017:14:09:12 +0700] "GET /WebBanHang/frontend/js/jquery.fancybox.pack.js?v=2.1.6 HTTP/1.1" 304 -
113.190.218.171 - - [05/May/2017:14:09:12 +0700] "GET /WebBanHang/frontend/js/magiczoom.js HTTP/1.1" 304 -
113.190.218.171 - - [05/May/2017:14:09:12 +0700] "GET /WebBanHang/frontend/js/jquery.fancybox-buttons.js?v=1.0.5 HTTP/1.1" 304 -
113.190.218.171 - - [05/May/2017:14:09:12 +0700] "GET /WebBanHang/frontend/images/icons-common2.svg HTTP/1.1" 304 -
113.190.218.171 - - [05/May/2017:14:09:12 +0700] "GET /WebBanHang/frontend/images/hint.gif HTTP/1.1" 304 -
113.190.218.171 - - [05/May/2017:14:09:17 +0700] "POST /WebBanHang/ProductRating HTTP/1.1" 302 -
113.190.218.171 - - [05/May/2017:14:09:18 +0700] "GET /WebBanHang/frontend/detail.jsp HTTP/1.1" 200 26245
113.190.218.171 - - [05/May/2017:14:09:21 +0700] "GET /WebBanHang HTTP/1.1" 302 -
